Numero,Descricao,Umidade (%),Energia (Kcal),Proteina (g),Carboidrato (g),Categoria
1,Arroz agulhinha branco cozido,72.7,128,2.5,27.8,Cereais e derivados
2,Arroz agulhinha integral cozido,70.3,124,2.6,26.9,Cereais e derivados
3,Arroz agulhinha parboilizado cozido,71.9,129,2.4,28.3,Cereais e derivados
4,Arroz cateto integral cozido,70.1,124,2.6,27.0,Cereais e derivados
5,Arroz moti cozido,69.9,138,2.6,30.8,Cereais e derivados
6,Arroz integral cozido,72.5,119,2.6,25.8,Cereais e derivados
7,Biscoito agua e sal,2.0,431,9.2,74.2,Cereais e derivados
8,Biscoito doce maisena,2.0,428,7.0,76.0,Cereais e derivados
9,Biscoito doce recheado com chocolate,1.4,479,4.6,70.6,Cereais e derivados
10,Biscoito doce recheado com morango,1.4,473,5.1,70.5,Cereais e derivados
11,Biscoito doce waffer sabor chocolate,1.0,506,5.1,66.8,Cereais e derivados
12,Biscoito doce waffer sabor morango,1.0,497,5.7,67.8,Cereais e derivados
13,Bolo pronto aipim (mandioca),35.5,313,5.2,44.0,Cereais e derivados
14,Bolo pronto laranja,28.0,359,5.6,45.2,Cereais e derivados
15,Bolo pronto mesclado,28.4,340,5.7,46.3,Cereais e derivados
16,Bolo pronto milho,28.2,344,4.8,47.1,Cereais e derivados
17,Bolo pronto simples,32.5,330,6.2,47.6,Cereais e derivados
18,Broa de milho,23.0,368,6.8,57.1,Cereais e derivados
19,Cereal milho flocos com acucar,2.3,383,6.9,89.3,Cereais e derivados
20,Cereal milho flocos sem acucar,3.8,363,7.2,85.9,Cereais e derivados
21,Cereal arroz grao expandido com chocolate,3.0,385,5.1,88.7,Cereais e derivados
22,Creme de arroz po,11.1,384,7.2,81.2,Cereais e derivados
23,Creme de milho po,12.5,383,7.0,80.2,Cereais e derivados
24,Farinha de arroz,11.9,362,7.2,77.7,Cereais e derivados
25,Farinha de milho amarela,13.1,361,6.9,76.5,Cereais e derivados
26,Farinha de milho branca,13.2,360,7.1,76.4,Cereais e derivados
27,Farinha de rosca,10.8,370,11.0,75.8,Cereais e derivados
28,Farofa de farinha de milho com manteiga,12.0,388,4.9,67.4,Cereais e derivados
29,Farofa de farinha de mandioca com manteiga,13.7,363,1.6,73.8,Cereais e derivados
30,Lasanha massa fresca cozida,60.6,175,5.8,33.1,Cereais e derivados
31,Macarrao instantaneo cozido,75.9,92,2.8,13.4,Cereais e derivados
32,Macarrao comum cozido,71.8,148,5.0,31.7,Cereais e derivados
33,Macarrao semola com ovos cozido,65.4,185,6.1,38.6,Cereais e derivados
34,Macarrao semola sem ovos cozido,65.1,186,6.2,40.8,Cereais e derivados
35,Macarrao semola integral cozido,67.5,165,6.4,34.4,Cereais e derivados
36,Mandioca farinha de mesa crua,13.1,361,1.2,84.5,Cereais e derivados
37,Mandioca farinha dagua crua,13.3,361,1.5,84.1,Cereais e derivados
38,Mandioca farinha de copioba crua,13.7,360,1.3,84.3,Cereais e derivados
39,Mandioca farinha torrada,13.7,362,1.1,84.2,Cereais e derivados
40,Massa de panqueca pronta,62.5,155,6.3,22.4,Cereais e derivados
41,Milho fuba,12.5,364,7.1,77.5,Cereais e derivados
42,Milho grao cozido,76.3,98,3.2,18.8,Cereais e derivados
43,Milho grao enlatado,73.9,120,3.4,22.0,Cereais e derivados
44,Milho farinha de cuscuz cozida,73.5,108,2.7,22.9,Cereais e derivados
45,Mingau de milho branco,86.9,54,1.0,11.2,Cereais e derivados
46,Pao aveia,35.1,281,8.5,49.2,Cereais e derivados
47,Pao de forma branco,35.8,268,7.9,51.0,Cereais e derivados
48,Pao de forma integral,34.6,253,8.5,47.5,Cereais e derivados
49,Pao de forma light,38.5,231,8.3,42.2,Cereais e derivados
50,Pao frances,31.7,298,8.0,57.7,Cereais e derivados
51,Pao milho,30.0,293,8.0,55.8,Cereais e derivados
52,Pao de queijo assado,41.0,272,7.0,37.8,Cereais e derivados
53,Pastel de carne assado,38.6,317,9.0,37.7,Cereais e derivados
54,Pastel de queijo assado,44.0,292,11.0,35.0,Cereais e derivados
55,Pipoca com oleo salgada,2.0,445,10.8,65.8,Cereais e derivados
56,Pao torrada,3.0,395,11.3,78.6,Cereais e derivados
57,Trigo farinha,12.9,360,10.6,74.4,Cereais e derivados
58,Trigo farinha integral,11.4,347,12.2,71.0,Cereais e derivados
59,Abobora cabotian cozida,90.7,36,1.2,7.7,Verduras hortalicas e derivados
60,Abobora cabotian crua,89.8,37,1.0,8.6,Verduras hortalicas e derivados
61,Abobora moranga cozida,92.6,27,0.8,5.9,Verduras hortalicas e derivados
62,Abobora moranga crua,91.7,30,0.7,6.9,Verduras hortalicas e derivados
63,Abobrinha crua,95.3,19,0.9,3.3,Verduras hortalicas e derivados
64,Abobrinha cozida,95.4,16,0.7,3.6,Verduras hortalicas e derivados
65,Agriao cru,93.0,26,2.3,3.8,Verduras hortalicas e derivados
66,Aipo (salsao) cru,94.3,19,0.9,3.5,Verduras hortalicas e derivados
67,Alface americana crua,95.5,15,0.7,2.3,Verduras hortalicas e derivados
68,Alface crespa crua,95.5,14,1.3,1.9,Verduras hortalicas e derivados
69,Alface roxa crua,95.1,15,0.9,2.8,Verduras hortalicas e derivados
70,Alho cru,60.6,106,7.0,26.3,Verduras hortalicas e derivados
71,Alho-poro cru,88.7,42,1.5,9.5,Verduras hortalicas e derivados
72,Aspargo em conserva,93.1,16,1.6,3.2,Verduras hortalicas e derivados
73,Batata baroa (mandioquinha) cozida,70.3,106,1.1,27.7,Verduras hortalicas e derivados
74,Batata cozida,80.2,77,1.8,17.9,Verduras hortalicas e derivados
75,Batata doce cozida,72.5,86,0.6,20.1,Verduras hortalicas e derivados
76,Batata frita tipo fast food,52.3,267,5.6,32.5,Verduras hortalicas e derivados
